#key, created, size, mimetype
EUDAT2020-DEL-WP2-D2.3-Strategic_Certification_Plan-v2.0.pdf,2017-07-21T12:12:34.832713+00:00,888505,application/pdf
workshop-report-v3.pdf,2017-07-12T10:54:41.337410+00:00,844356,application/pdf
logs,2017-06-26T12:43:17.781971+00:00,2256673,application/octet-stream
Alya-CFDWind1D.nc,2017-06-23T07:59:30.285136+00:00,4651629,application/x-netcdf
CFDWindSCM_ke.nc,2017-06-23T07:59:30.298043+00:00,55688995,application/x-netcdf
Ellipsys1D_TskWRF.nc,2017-06-23T07:59:30.310411+00:00,921426,application/x-netcdf
Ellipsys3D_LES_TskWRF.nc,2017-06-23T07:59:30.323016+00:00,611450,application/x-netcdf
Ellipsys3D_TskWRF.nc,2017-06-23T07:59:30.335138+00:00,814702,application/x-netcdf
GABLS3_tendencies_d02_YSU_w60_L9000.nc,2017-06-23T07:59:30.347215+00:00,32186970,application/x-netcdf
SP-Wind.nc,2017-06-23T07:59:30.359293+00:00,46204469,application/x-netcdf
VentosM.nc,2017-06-23T07:59:30.371798+00:00,306890,application/x-netcdf
WRF-LES_d8.nc,2017-06-23T07:59:30.383895+00:00,15739128,application/x-netcdf
WRF-MJY_ERA.nc,2017-06-23T07:59:30.396111+00:00,228402,application/x-netcdf
WRF-MJY_GFS.nc,2017-06-23T07:59:30.408355+00:00,228402,application/x-netcdf
WRF-MYNN_ERA.nc,2017-06-23T07:59:30.420962+00:00,228403,application/x-netcdf
WRF-MYNN_GFS.nc,2017-06-23T07:59:30.433158+00:00,228403,application/x-netcdf
WRF-QNSE_ERA.nc,2017-06-23T07:59:30.446421+00:00,228403,application/x-netcdf
WRF-QNSE_GFS.nc,2017-06-23T07:59:30.458739+00:00,228403,application/x-netcdf
WRF-TEMF_ERA.nc,2017-06-23T07:59:30.471439+00:00,228403,application/x-netcdf
WRF-TEMF_GFS.nc,2017-06-23T07:59:30.483720+00:00,228403,application/x-netcdf
WRF-YSU_ERA.nc,2017-06-23T07:59:30.495974+00:00,228402,application/x-netcdf
WRF-YSU_GFS.nc,2017-06-23T07:59:30.508545+00:00,228402,application/x-netcdf
GABLS3_CFDWindSCM_turb0_T2_9.nc,2017-06-23T07:47:48.860194+00:00,70190045,application/x-netcdf
GABLS3_CFDWindSCM_turb1_T2_10.nc,2017-06-23T07:47:48.872814+00:00,81194650,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_2.nc,2017-06-23T07:47:48.885390+00:00,78200098,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_noTadv_3.nc,2017-06-23T07:47:48.897647+00:00,79842695,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_noTadvUadv_4.nc,2017-06-23T07:47:48.910482+00:00,79972234,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_noTadvUadvSg0_5.nc,2017-06-23T07:47:48.923337+00:00,80280030,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2obs_11.nc,2017-06-23T07:47:48.935658+00:00,79837325,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2obs_UVTnud2-120_13.nc,2017-06-23T07:47:48.948086+00:00,78321342,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2obs_UVTnud2-200_20.nc,2017-06-23T07:47:48.960372+00:00,78440709,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2obs_UVTnud2-200tau10_21.nc,2017-06-23T07:47:48.972973+00:00,79910998,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2obs_UVTnud2-80_12.nc,2017-06-23T07:47:48.985301+00:00,78227470,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_UVnud40-200_15.nc,2017-06-23T07:47:48.997691+00:00,83913400,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_UVnud40-200tau10_17.nc,2017-06-23T07:47:49.009978+00:00,84055455,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_UVnud40-200tau30_16.nc,2017-06-23T07:47:49.023052+00:00,83976135,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2_UVnud40-400_14.nc,2017-06-23T07:47:49.035333+00:00,78365055,application/x-netcdf
GABLS3_CFDWindSCM_turb5_T2wt_6.nc,2017-06-23T07:47:49.047772+00:00,78571850,application/x-netcdf
GABLS3_CFDWindSCM_turb5_Tsk_7.nc,2017-06-23T07:47:49.060176+00:00,79778344,application/x-netcdf
GABLS3_tendencies_d02_YSU_w60_L9000.nc,2017-06-23T07:47:49.072853+00:00,24083853,application/x-netcdf
DSA-WDS_Catalogue_of_Common_Requirements_V2_3_Final.pdf,2017-06-15T17:00:39.892877+00:00,161431,application/pdf
DSA–WDS Partnership – Procedures for Core Certification V1.2.pdf,2017-06-15T16:23:27.166104+00:00,140552,application/pdf
A EUDAT Working Group on Sensitive Data Management-V2.docx,2017-06-11T15:59:26.514890+00:00,18276,application/octet-stream
Mondsee_profile_data_2015.xls,2017-06-08T13:14:29.088015+00:00,15491584,application/vnd.ms-excel
radio_B.tar,2017-06-01T14:25:26.970171+00:00,77230080,application/x-tar
radio_z05B.tar,2017-06-01T14:25:26.982905+00:00,101468160,application/x-tar
EUDAT and DMP training - 20170518 - Barcelona.pdf,2017-06-01T14:22:49.315910+00:00,2245262,application/pdf
EUDAT and DMP training - exercise.pdf,2017-06-01T14:22:49.328695+00:00,271408,application/pdf
EUDAT_Coupling HPC and Data_ExDCI_2017.pdf,2017-06-01T14:22:49.341160+00:00,5018324,application/pdf
Wheat Data Interoperability Guidelines.pdf,2017-06-01T04:28:48.451961+00:00,158549,application/pdf
Wheat_Data_Interoperability_maintenance_plan.pdf,2017-06-01T04:28:48.467375+00:00,32254,application/pdf
CUR12048clust_cat_z0_100.dat,2017-05-26T08:31:21.445435+00:00,431020,application/octet-stream
CUR12048clust_cat_z05_100.dat,2017-05-26T08:31:21.458300+00:00,207200,application/octet-stream
radio.tar,2017-05-26T08:31:21.470590+00:00,77230080,application/x-tar
radio_z05.tar,2017-05-26T08:31:21.483258+00:00,101468160,application/x-tar
galaxies.fits,2017-05-25T12:22:16.075151+00:00,23014080,application/octet-stream
sky_model_components.fits,2017-05-25T12:22:16.087710+00:00,69036480,application/octet-stream
sky_model.fits,2017-05-25T12:22:16.099821+00:00,23014080,application/octet-stream
GEDErda-pid-bundle-v05.pdf,2017-05-24T18:37:55.207016+00:00,455521,application/pdf
